,EPS
MT1A,-0.03098481701324211
AHSP,-0.029414861400855398
NMB,-0.026788572490308558
MT1F,-0.024987156251529
LEPR,-0.02227085204448266
IL33,-0.018221220126074085
IGFBP2,-0.012634749892850891
NR4A2,-0.012146596749626004
ENPP1,-0.012135831094484203
INSIG1,-0.01121300991261142
LY6D,-0.010895567892410817
C11orf96,-0.007770736004633412
ALAS2,-0.007697501396453532
TUBB2B,-0.007183783436901389
TM4SF1,-0.007100309407325155
HBE1,-0.005890921883620495
CA1,-0.005581470106263533
FKBP8,-0.005437437466584984
IGFBP5,-0.004744229612661007
TFPI2,-0.0025413835782238025
ECSCR,-0.0022053426133327126
PTGR1,-0.0014726157252285242
ID4,-0.0014237121994299018
RASSF8,-0.0009040695659145963
RAMP2,-0.000777856277109204
TNFRSF17,-0.0007141146136248991
SOSTDC1,-0.0003878716729275215
CAPNS2,0.000389414298284132
TMEM45A,0.0005847535856869516
PLAC9,0.0005896872475012014
PKIB,0.0005936774028592668
CD83,0.000920772615222398
PBXIP1,0.0011560341587112122
TSPAN33,0.0016754060321255088
IGLL1,0.0016808827205390916
CLDN4,0.0022333356728039258
GPR157,0.0028935951060287263
TFAP2B,0.0034111329453499956
KIT,0.0036766873829991503
TFPI,0.003963288736959432
DMKN,0.004565783792950168
SLC25A39,0.005055091268416032
LAMB3,0.0054986612465284445
SLC25A37,0.006023634267706132
LINC00636,0.0061435720109525105
NR2F2,0.0071614200898081825
MT1X,0.0075066214240489424
KRT2,0.008937349116224019
TRPM1,0.009331513583511256
ACTA2,0.009892772555282954
FAM210B,0.009999587128079992
HAPLN1,0.010059332354396523
CRYAB,0.010177409723761447
COCH,0.010603938890487512
SOD3,0.010825137285346646
RRM2,0.010929679934086103
MYH11,0.011431821080897058
CXADR,0.01164404871239111
ADAM12,0.011908648848265993
CYB561A3,0.013373419897613955
BHLHE41,0.014521063615553432
TNFRSF18,0.014556940567835772
GYPC,0.014725833668191808
S100A13,0.014809243489670382
G0S2,0.014841470555740253
DUSP2,0.015390993180908004
SNCA,0.015755356004752544
ACHE,0.01578975607796361
SOX15,0.015863252009347448
AKR1C1,0.017423344064254435
HIST1H4C,0.018109422178089616
SOX17,0.018733904265869458
MEF2C,0.019387167538817265
ZNF667-AS1,0.019571128491015933
CLDN5,0.019855426943849994
PKHD1L1,0.02010694577018858
RGS16,0.02032878387054993
TFF3,0.020529497169941634
TMEM150C,0.02057585690136387
SLC2A3,0.021157300915553803
IGFBP3,0.021209141536860064
APCDD1,0.021769505301225244
CPVL,0.0224403070960994
BIRC5,0.02252341964129252
BCAN,0.022615745394350895
IFNG,0.022860714210167596
IFITM1,0.023172490413304873
CLEC9A,0.02347680830290099
MMP27,0.023994073171037154
MT1G,0.024177524481935324
UBE2C,0.024488853761364896
ACER1,0.024510172939914532
DERL3,0.024793586907722476
PTTG1,0.025699469493630347
FRZB,0.02592087786439183
PTGER3,0.02604975872721036
RHOV,0.0270202318153933
CDC20,0.02821791619785996
CD1A,0.02872828537709464
HMGB2,0.029062892675035732
NDUFA4L2,0.029547469411747265
CENPF,0.029801663087032748
SPRY1,0.030057452420825383
CES1,0.030741306667760555
PERP,0.03177761438574588
NUSAP1,0.032502101554724064
MYC,0.032688308353581184
ATF3,0.03276631125352874
PCDH7,0.03281466531949548
MIR205HG,0.03369525894172945
KRT18,0.03381790136911769
TOP2A,0.03455806094505819
CDK1,0.03478962777172258
ARHGDIB,0.03693580255381697
IRF4,0.03765722622021202
PROX1,0.03824606087054701
LYPD3,0.038338240839582594
CD40LG,0.04084861007801008
MKI67,0.041059324141938816
CLDN1,0.041317163714937974
IL1B,0.04163211350058167
SELE,0.04271493801914028
FGFBP1,0.043342368280315596
COL5A2,0.04568534822582082
RGS1,0.04578706099416753
TAGLN,0.045932855950665395
DEFB1,0.046196562290119716
TP63,0.046302701873616535
FCER1G,0.046584089161774554
IDO1,0.04695712969253891
SPARCL1,0.04748915718214239
HBD,0.04772088493128657
C1orf54,0.04787249204631962
FABP4,0.04833277343257772
GATA2,0.04906955101812859
CCL22,0.05010373185859729
ID2,0.050170611671885926
DSC1,0.050316256919854314
AHNAK2,0.05067501070517173
FCRL5,0.05252715887607454
CD79A,0.053013962393683396
STRADB,0.054185316076991015
HES1,0.055432911697584686
HTRA1,0.05599525103329227
ASPN,0.05684980274884444
CCR7,0.05839653189739303
PPP1R14A,0.05974596501105889
AQP3,0.06025120303693734
FCER1A,0.060470231810533015
NLGN4Y,0.06142072383261508
CBFA2T3,0.06164105297606938
CTSZ,0.06228765311024332
TFAP2A,0.06420855922822417
AREG,0.06437381985370089
LSAMP,0.06454660701776578
IL4I1,0.06543768108807181
MFAP5,0.06584813900705497
LST1,0.06633672768341413
IGFBP7,0.067419507922957
CD1B,0.06787082596903038
COL17A1,0.06854466469237563
THBS2,0.06875054673045564
CLEC10A,0.07136639097757817
CD68,0.07302679647140341
ITGB1,0.07386823297521974
MIA,0.07421485246790703
MMP2,0.07480656110224654
PMEL,0.07694407947610356
RGS5,0.07752231718043726
SERPINB5,0.07833636430795862
CCL19,0.07946203938128851
INHBA,0.07985158794107078
MZB1,0.07995771632147661
CD69,0.0802839703390007
SERPINB2,0.08067140652541288
COL6A1,0.08068558188575321
SYNPO2,0.0821030188947508
DST,0.08308545935613322
CRABP2,0.0840252348017233
GPR4,0.08468304763543064
BIRC3,0.08509910691308767
ALOX5AP,0.08574200107143086
CTSW,0.08608777571837065
SFRP1,0.08740784557306532
LYVE1,0.0888982843556362
IL3RA,0.08957914501362822
IFI27,0.09001089850503827
KRT15,0.09155616746424845
DCT,0.09155921943564643
AZGP1,0.09240873763018567
C15orf48,0.09510542628716118
MAL2,0.09533874127725527
LGALS2,0.09674606659430224
TYMS,0.09690174097791997
S100A14,0.09756536765381792
STMN1,0.09768236922173301
CALD1,0.09915006856778699
LENG8,0.09938591186866227
PTPRCAP,0.10241037798600094
CXCR4,0.1030356647628781
MYCT1,0.10434308951951272
KRTDAP,0.10441318280316945
SLC8A1,0.10493529782356227
GNG11,0.10667542607850358
ENAH,0.10785495578059386
TYRP1,0.10816794784449524
MMRN1,0.10882990930609285
CDH5,0.10956061727624082
LCK,0.11188433840231188
C5AR1,0.1119768961079834
MNDA,0.11226452398475527
GZMK,0.11376062064535196
MFAP4,0.11381442448175014
FSCN1,0.11410294540709658
KRT5,0.11575942132253125
CD3G,0.1158701228057703
DSP,0.11601495807232282
COTL1,0.1168449401822282
SBSN,0.11747249559411294
GEM,0.11978415499035236
TACSTD2,0.12103631241419789
PTN,0.12132974108692646
GPR183,0.12154808348297017
MYL9,0.12287507301363927
FBLN1,0.12298286459712028
BASP1,0.12474445672918173
TYROBP,0.12625281697223048
LTB,0.12732798668989512
GIMAP7,0.12860880238863312
TSC22D1,0.13225436283223324
IL2RA,0.13524527579910456
KLRB1,0.13921924575812397
CALCRL,0.14039271491923397
CCND1,0.14192499246490275
IRF8,0.1423165216069053
CD8A,0.14356051941606043
RGCC,0.1439885179909543
IL32,0.14479023382213327
AXL,0.14626123873508545
MGP,0.14738814748494364
CPE,0.14756787525905493
C1QA,0.14798782661082024
KRT17,0.1494935418234323
NOTCH3,0.15091337529245508
CD3D,0.15200128234838176
CD3E,0.15247453053691845
NSG1,0.1536228332212454
PLVAP,0.1555319193040763
TMEM176A,0.1564833777308307
CXCL12,0.15887761859285843
PLP1,0.16116558988313906
SFRP2,0.16250395561916528
CD93,0.16353083080832936
PDGFRA,0.16534028400282702
WDFY4,0.16906041692622936
AIF1,0.16912215578416864
VWF,0.17084716342976144
LYZ,0.17131873838260628
PTGDS,0.17347919092108874
KRT16,0.1771580433376092
AQP1,0.18045360541326105
ITGA6,0.1817138782041008
THY1,0.18439640853014386
ITM2A,0.18533131770294112
SLPI,0.19237765826231717
CD52,0.19363167393498903
HMGN2,0.1988941732004461
POSTN,0.2040844262666202
COL6A3,0.21579765464901893
MITF,0.21599099989103765
LUM,0.22677864493580793
VIM,0.23516290884250043
COL6A2,0.23720883512796412
QPCT,0.25781990835979857
MLANA,0.25934273156553844
FBXO7,0.2629203179446645
RNASE1,0.26453246262776703
EDNRB,0.2764803205115444
TYR,0.30522039804445955
MARCKSL1,0.31434518341172424
S100B,0.3207275409727106
APOD,0.3287945249767072
