,EPS
MPO,-0.04294002501260209
PDCD1,-0.03435918358144012
TCF15,-0.029576796034298407
CSF3,-0.02800503091485823
UCP1,-0.024645149206918113
CYP1A1,-0.024282717030916178
CRHBP,-0.022382090692880517
NPM3,-0.020556504214171947
ESM1,-0.014596483203831527
C2orf42,-0.012876140163835419
MMP1,-0.010249384075547594
RORC,-0.00917066022756193
CTH,-0.007701370146058268
APOBEC3A,-0.0075645484477001096
MUC6,-0.006621736066454456
SLC4A1,-0.0041577053345194966
NDUFA4L2,-0.004012229291173821
DNAAF1,-0.0028188388625623477
CXCL5,-0.0026119627925925972
TCL1A,-0.00256153613075349
AHSP,-0.002023224748975096
TIFA,0.0014726849994319776
LILRA4,0.0023031754628177322
OXTR,0.0027462719668298204
REXO4,0.002876039458768139
KLRF1,0.003197058419076096
FOXP3,0.003344443632020182
CCL20,0.00367419833109381
THAP2,0.003756818272292526
LGALSL,0.005280140417035321
EIF4EBP1,0.0055294971606617595
CLIC6,0.005595322624446645
ANKRD28,0.007588642210114648
LAG3,0.00792310910959995
DAPK3,0.008091896605228362
STC1,0.008101445746867848
NCAM1,0.008103924962508599
ELF5,0.00838325381574481
SOX18,0.008496533837052199
GJB2,0.010761266376261094
PELI1,0.010794732329652206
DUSP5,0.011879915158324154
MYBPC1,0.01277351023048693
TIMP4,0.01366513414887701
CLCA2,0.014846721446948808
PGR,0.015561513329608211
APOBEC3B,0.015605547288341964
RAPGEF3,0.01619019375844152
AKR1C3,0.016446575622728107
CDC42EP1,0.01682504516184691
EGFL7,0.01798817808093037
ANGPT2,0.01823596270951195
SNAI1,0.0183230868357305
TCEAL7,0.01854065384653184
C5orf46,0.018734885498480208
CXCL16,0.01884372745644993
RAB30,0.018907299419935554
SSTR2,0.019132716979794222
TUBA4A,0.019486529615575062
FOXC2,0.020061218826334066
MAP3K8,0.021157368512124436
KARS,0.021697485159450032
GNLY,0.021793482895454783
DNTTIP1,0.022142696759837
SLC25A37,0.02238760228023182
PDE4A,0.022504525487910935
CLEC9A,0.023035877985941866
LIF,0.023074625964947113
TUBB2B,0.023178564603154074
CD79B,0.02332506124494132
CCL8,0.023578612017129793
DUSP2,0.023717755578865934
GZMK,0.024286572254594053
CPA3,0.024670719908751897
HPX,0.02532576506476483
SCGB2A1,0.02599896881205337
WARS,0.02626442217028998
TAC1,0.027028546484790753
AVPR1A,0.027907932285564596
PLD4,0.027909854676835905
PTRHD1,0.02847689488392097
PDCD1LG2,0.028790828780240727
IL3RA,0.029312120872795572
CLDN5,0.029368664740234227
APOC1,0.02942303871480296
MKI67,0.029572990434600883
AKR1C1,0.02995935113626645
DMKN,0.030196151030686375
AQP3,0.03043962861354226
DERL3,0.030565915302975435
NOSTRIN,0.030804546204028147
FSTL3,0.030977464054995258
CD83,0.03106745203709426
TNFRSF17,0.03137538541822577
TRIB1,0.03154989736793609
LY86,0.032187243226855386
S100A8,0.032262638307403696
CD80,0.032880103971298674
ANKRD29,0.03330419001844034
PPARG,0.03406935296456867
CAVIN2,0.03544790157286191
TPSAB1,0.036393184398344755
CLECL1,0.03664392219968951
CCPG1,0.03725539846031457
CD274,0.037403257000898776
CX3CR1,0.039695459057228204
OCIAD2,0.04007358143312546
CTSG,0.04033957065999239
EDN1,0.040550464574526685
BACE2,0.04182943158070427
SEC11C,0.042027491798692196
ALDH1A3,0.043490185958563674
CD1C,0.04413204218675951
SERPINB9,0.044243064796747
HOXD9,0.04450946594747888
KIT,0.044547572008906425
SPIB,0.04471855247390988
CEACAM8,0.04480675650783191
CD19,0.044918735048226265
PCOLCE,0.04506031552133058
FAM49A,0.04591757117797733
C15orf48,0.04623782428850307
HOXD8,0.046933233561106694
TRAPPC3,0.04725023743801657
KDR,0.047466636221390274
SOX17,0.04785534008956517
TYROBP,0.04804865012426889
MMRN2,0.04955425487505121
FCGR3A,0.05120000584920131
KLRC1,0.051223740937256304
VOPP1,0.05146069740255089
BTNL9,0.05184086153782892
LEP,0.052316549045673524
ITGAM,0.05250233432066323
IL2RA,0.05342696910791877
HAVCR2,0.054334138943124013
EGFR,0.054401919983427145
PRF1,0.05524803370307564
KRT16,0.05554016231031528
VWF,0.05557780288798305
HMGA1,0.05685747880786522
FCER1A,0.057588446486194614
RAMP2,0.05776317019045068
PTN,0.0591603238378879
SDC4,0.06021823499087469
SRPK1,0.06076199427806708
NKG7,0.06086537429533102
EDNRB,0.06144071033974737
FAM107B,0.061526432676444046
CD86,0.06180384099845855
GZMB,0.0625182425912062
ITM2C,0.06303963865611441
RUNX1,0.0633392196661325
MZB1,0.06373305665109509
OPRPN,0.0639626635462151
FBLIM1,0.06408365127757394
PIM1,0.06423805755274127
MEDAG,0.06426871195023352
MYH11,0.06497010622077681
CD79A,0.0655234493418236
ESR1,0.06574698504526605
ACTG2,0.06639835279691017
SVIL,0.06653531672466875
CLEC14A,0.06719803547882035
KRT23,0.06902657823890374
CD14,0.06906339482115419
IGSF6,0.07000864817210142
PIGR,0.0703868562174696
KRT6B,0.07068089074191762
MMP12,0.0708484209259157
CD8B,0.07141599490149782
KRT15,0.07240382165280124
CENPF,0.07360446166446291
BASP1,0.0746228654021157
ITGAX,0.07514272012436045
MNDA,0.07597706244899283
RTKN2,0.07628179910695719
BANK1,0.07645372499014375
LPL,0.07677894389532104
DSC2,0.07720421539343532
ERN1,0.07731066946046763
RHOH,0.07759521946630944
C6orf132,0.07893077029067379
KLRD1,0.07932021356992233
KRT5,0.07962582570822056
C1QC,0.08010457919653248
TIGIT,0.08349590807307858
KRT14,0.08478270680421697
CD93,0.087540996235689
MYLK,0.08780955391626925
ACTA2,0.09001008766134838
HOOK2,0.09031433527295049
AGR3,0.09053352839918652
LRRC15,0.09132684106582617
SEC24A,0.09145359873297923
SMAP2,0.09337071074731489
CTLA4,0.09356448145428674
C1QA,0.09414056693990185
SERPINA3,0.09420237377537721
TOP2A,0.09477237226236065
AQP1,0.09717480091666172
LARS,0.09725652267732386
MS4A1,0.09885595287651014
HDC,0.1015484296880943
CD27,0.10202508380937925
CRISPLD2,0.10314415975221007
TOMM7,0.10336757877216456
POLR2J3,0.10420730328840264
QARS,0.10447399836083196
JUP,0.10460610719306013
MRC1,0.10470981198582556
PCLAF,0.10607527094574175
TENT5C,0.10638464760779967
CD163,0.10799017905444627
TCF7,0.10976745948546912
SLAMF7,0.11041205345579237
CD8A,0.11097227555777059
SQLE,0.11142938812403674
DPT,0.11319379044940364
CAV1,0.11587925328269558
ADIPOQ,0.12070669938328021
ZNF562,0.12269551842537935
GLIPR1,0.12358717123473213
PECAM1,0.12422013841058105
SFRP1,0.1265294377448469
FCER1G,0.12869360419089174
PDK4,0.12886097455082943
TMEM147,0.1288838921441045
ADGRE5,0.12999193210281895
ZEB1,0.13024384663033162
LTB,0.1310823309799633
CD68,0.13304611772151143
SH3YL1,0.13516871742943173
LPXN,0.1361914766988359
KLF5,0.13622613359845276
USP53,0.13958199995167658
FGL2,0.14149949039985987
ADAM9,0.14158599811530267
SLAMF1,0.14324553285224634
PRDM1,0.14378485439358898
TCF4,0.14426940680440606
AIF1,0.1448923473630611
CCR7,0.1467443572096938
CLDN4,0.14793063879398233
ADH1B,0.14898867061151694
MDM2,0.14987206195716607
PDGFRA,0.15376667813596914
SMS,0.1546818760966769
CEACAM6,0.16001211042848268
TFAP2A,0.1615255438093992
SELL,0.16328286173943737
KLRB1,0.1675195053972913
SLC5A6,0.16752233744742054
LDHB,0.16757185289614848
GZMA,0.17383017207528312
CCDC6,0.17955542509843153
LYZ,0.18267774185555952
CD3G,0.18629093552641618
TRAF4,0.18748969856434627
NARS,0.18794248687341783
FLNB,0.1894647379222173
CCL5,0.19232513900906634
IGF1,0.19283651254962145
PDGFRB,0.19691859781510027
TCIM,0.19773742265465866
TPD52,0.1980460688796419
CD247,0.2013435621161797
CD3D,0.20228505259325755
S100A4,0.2105689634884412
CD4,0.21575800472189088
ENAH,0.2170892309123788
PTGDS,0.22160378193304264
SFRP4,0.22225904014250797
CD69,0.22613565242408334
FBLN1,0.22814476156880176
GPR183,0.2347199242416177
SERHL2,0.23569559234340692
DST,0.2414511186901401
ELF3,0.25032508154351685
ZEB2,0.255554550540208
AR,0.2596727921256956
MMP2,0.2626840528438825
ABCC11,0.2797607171466086
S100A14,0.2797743769256815
CXCR4,0.28352987031218946
LYPD3,0.29242821735808416
ERBB2,0.29733155106623127
CXCL12,0.3014185469148799
LUM,0.30320448770376374
GATA3,0.30459443500959077
IL2RG,0.31298599326725696
POSTN,0.3170931261235694
MYO5B,0.3216343393048391
CCND1,0.3268850195861101
SCD,0.3331331082609993
DSP,0.3410020614071612
CTTN,0.35287936012099863
CCDC80,0.3547787902454032
CYTIP,0.36425575730468934
TRAC,0.37691896867124786
ANKRD30A,0.38528718709962073
CDH1,0.388991459850099
IL7R,0.39865962184419407
FASN,0.40138907326391915
CD9,0.4055778056271691
FOXA1,0.40607517918357605
CD3E,0.42677680298826165
TACSTD2,0.43180823368575605
KRT7,0.4457979933667482
MLPH,0.4632529513989036
EPCAM,0.46549322171694085
KRT8,0.465631818502325
PTPRC,0.5192268398086598
